"tree","lambda_exp","lambda_gauss","lambda_lin","rho_gauss","rho_lin","rho_bm","target_exp","target_gauss","target_lin","target_bm"
"post_51",5,9.6,1.9,0.963140893703136,0.944066266433246,0.692315511844279,FALSE,FALSE,FALSE,FALSE
"post_52",3.1,1.7,1.3,0.867183257493076,0.953600818495732,0.77881151482436,TRUE,TRUE,TRUE,TRUE
"post_53",3.6,1.7,1.2,0.805008497486146,0.934011296251812,0.728854354601664,TRUE,TRUE,TRUE,FALSE
"post_54",3.4,1.9,1.3,0.895889448599151,0.954153818104401,0.797698531289449,TRUE,TRUE,TRUE,FALSE
"post_55",5,9.4,1.9,0.957184775237911,0.935005066190179,0.700320755776935,FALSE,FALSE,FALSE,FALSE
"post_56",3.1,1.7,1.4,0.89558662589692,0.946281433216053,0.813486316825131,TRUE,TRUE,TRUE,TRUE
"post_57",4.9,9.2,1.9,0.960766676976555,0.937255689050344,0.695751089303066,FALSE,FALSE,FALSE,FALSE
"post_58",3.3,1.8,1.2,0.846959302244923,0.952764015282591,0.76836835988991,TRUE,TRUE,TRUE,FALSE
"post_59",3.4,3.4,1.3,0.926874677069094,0.947078846681965,0.788032824814485,TRUE,TRUE,TRUE,FALSE
"post_60",3.3,1.8,1.3,0.863539759131345,0.945366636103032,0.776034242977956,TRUE,TRUE,TRUE,FALSE
"post_61",2.9,1.6,1.2,0.875925606194236,0.959195651572729,0.783116028678543,TRUE,TRUE,TRUE,TRUE
"post_62",3.1,1.7,1.3,0.827775219651788,0.937975398782602,0.78198837447071,TRUE,TRUE,TRUE,FALSE
"post_63",4.3,1.5,1.1,0.778717539086535,0.917479624042777,0.687814679679247,TRUE,TRUE,TRUE,TRUE
"post_64",3.3,1.9,1.5,0.858825706427819,0.939356784314661,0.783792531229178,TRUE,TRUE,TRUE,FALSE
"post_65",3,1.6,1.3,0.893212477173397,0.955410402134219,0.806649159199983,TRUE,TRUE,TRUE,TRUE
"post_66",3.2,1.8,1.3,0.879807096502436,0.946455684058476,0.790411277515875,TRUE,TRUE,TRUE,FALSE
"post_67",3,1.8,1.3,0.885667434359636,0.941072466310762,0.79959758075052,TRUE,TRUE,TRUE,FALSE
"post_68",3.2,1.8,1.3,0.85483034118594,0.947524920154719,0.781096763660945,TRUE,TRUE,TRUE,FALSE
"post_69",3.1,1.7,1.4,0.86921272907353,0.934099115520628,0.824355559302641,TRUE,TRUE,TRUE,TRUE
"post_70",3.2,1.8,1.3,0.845992929169924,0.93510986143299,0.759397070438098,TRUE,TRUE,TRUE,FALSE
"post_71",3.5,1.9,1.3,0.881534374171162,0.949948357340232,0.786133694069796,TRUE,TRUE,TRUE,FALSE
"post_72",5,10.4,2,0.951699307494706,0.931532967723554,0.700151613488551,FALSE,FALSE,FALSE,FALSE
"post_73",2.7,1.5,1.2,0.893117719805599,0.963532129295918,0.811359173626661,TRUE,TRUE,TRUE,TRUE
"post_74",3,1.7,1.3,0.833294336190303,0.942955546464362,0.791222304631518,TRUE,TRUE,TRUE,FALSE
"post_75",2.9,1.6,1.2,0.896219372890301,0.950144679613168,0.79367865475035,TRUE,TRUE,TRUE,TRUE
"post_76",3,1.6,1.3,0.864849261178281,0.939554844389126,0.799603771612411,TRUE,TRUE,TRUE,TRUE
"post_77",2.7,2.5,1.2,0.920856201569175,0.956368777869555,0.789500460549771,TRUE,TRUE,TRUE,TRUE
"post_78",5,10.4,1.9,0.956042927380622,0.929683894567631,0.689186989977709,FALSE,FALSE,FALSE,FALSE
"post_79",3,1.7,1.3,0.878423141624145,0.949491005971135,0.803098351556356,TRUE,TRUE,TRUE,TRUE
"post_80",3.1,1.8,1.3,0.883237433157456,0.933875694396125,0.808478643791279,TRUE,TRUE,TRUE,FALSE
"post_81",3.2,1.8,1.5,0.900057116737893,0.941474051454556,0.800295541926857,TRUE,TRUE,TRUE,FALSE
