"tree_id","lambda_auto","lambda_genus","rho_priority","auto_is_target","genus_is_target","agree_top"
75,2.9,3.11558405620625,0.99933637589043,TRUE,TRUE,TRUE
76,3,3.18312193928863,0.99793451080958,TRUE,TRUE,TRUE
77,2.7,3.02836303147616,0.994018115444625,TRUE,TRUE,TRUE
78,5,4.75605892112033,0.996382400356497,FALSE,FALSE,TRUE
79,3,3.20032585624573,0.997569960801106,TRUE,TRUE,TRUE
80,3.1,3.09269109251819,0.999995165478446,TRUE,TRUE,TRUE
81,3.2,3.04938833831603,0.999328312706213,TRUE,TRUE,TRUE
82,3.2,3.11506330589596,0.999468842943829,TRUE,TRUE,TRUE
83,2.9,2.95817243251944,0.999662237088937,TRUE,TRUE,TRUE
84,3.2,3.24405387958021,0.999916163072951,TRUE,TRUE,TRUE
85,3.1,2.89447684160715,0.998452040522116,TRUE,TRUE,TRUE
86,3,3.20595377160338,0.998292158731308,TRUE,TRUE,TRUE
87,2.9,3.20096864443937,0.995525741307683,TRUE,TRUE,TRUE
88,5,4.78073170952274,0.998148239867196,FALSE,FALSE,TRUE
89,3,3.16361364019206,0.998814598815105,TRUE,TRUE,TRUE
90,3,3.14604397659641,0.999114370694879,TRUE,TRUE,TRUE
91,2.8,3.21328929501587,0.991319382819181,TRUE,TRUE,TRUE
92,3.1,3.07882497382627,0.999956671643958,TRUE,TRUE,TRUE
93,2.7,3.1591165199888,0.993807039438684,TRUE,TRUE,TRUE
94,2.9,3.13317595498572,0.996696179245068,TRUE,TRUE,TRUE
95,2.9,3.10130378100378,0.998066874526142,TRUE,TRUE,TRUE
96,2.9,2.84896494517956,0.999842613349055,TRUE,TRUE,TRUE
97,2.8,3.01572362394803,0.997275050499974,TRUE,TRUE,TRUE
98,2.8,3.15900427757555,0.994613674117889,TRUE,TRUE,TRUE
99,2.5,3.03784900047781,0.989326922570583,TRUE,TRUE,TRUE
100,2.4,2.98808903139647,0.981298704260688,TRUE,TRUE,TRUE
