"tree_id","lambda","rho_seqdef","rho_priority","top10_seqdef","top10_priority","top1_is_target"
3,1,0.711300295325267,0.803482696639097,3,3,TRUE
3,1.5,0.747748856723096,0.848195115380971,3,5,TRUE
3,2,0.810954103821456,0.881679424503305,3,9,TRUE
3,2.5,0.845405943964332,0.91101566973616,3,9,TRUE
3,3,0.88970723860976,0.935590245641673,3,9,FALSE
3,3.5,0.931220074376325,0.959477996340339,10,9,FALSE
3,4,0.963022418843425,0.981068665276632,10,10,FALSE
3,4.5,0.992716554891355,0.996316084065616,10,10,FALSE
3,5,0.99950542649431,0.999756040853133,10,10,FALSE
3,5.5,0.995984192882284,0.998268749562418,10,10,FALSE
3,6,0.988075914849867,0.995190848968728,7,10,FALSE
3,6.5,0.98071135478133,0.992420022571788,7,10,FALSE
3,7,0.971003798071309,0.988489648387665,7,9,FALSE
3,7.5,0.965452851734305,0.986081105513373,7,9,FALSE
3,8,0.958959727276652,0.983431198588576,7,9,FALSE
3,8.5,0.952433504395851,0.978589629882019,7,9,FALSE
3,9,0.944763352664292,0.975593396566006,7,9,FALSE
3,9.5,0.939992797906438,0.973108463119464,5,9,FALSE
3,10,0.934662499125556,0.968416061125955,5,9,FALSE
3,10.5,0.928404925217711,0.965586632358145,5,9,FALSE
3,11,0.922090519771932,0.962720311720502,5,9,FALSE
3,11.5,0.917989467513158,0.960086395666432,5,9,FALSE
3,12,0.913603016777565,0.957036047089416,5,9,FALSE
3,12.5,0.906596908788165,0.953160776545132,5,9,FALSE
3,13,0.904517299452317,0.952621832968425,5,9,FALSE
3,13.5,0.902026899954793,0.951834302570529,5,9,FALSE
3,14,0.900056923103336,0.950839027892951,5,9,FALSE
3,14.5,0.897216977706594,0.950024470634617,5,9,FALSE
3,15,0.894459655473217,0.947031817662509,5,9,FALSE
3,15.5,0.892041599433361,0.946068002692144,5,9,FALSE
3,16,0.890271453340227,0.945988777913834,5,9,FALSE
3,16.5,0.888439503970842,0.945047099703054,5,9,FALSE
3,17,0.883043981449352,0.945044127246927,5,9,FALSE
3,17.5,0.882259771191071,0.944253969019808,5,9,FALSE
3,18,0.880484683961272,0.944054542816487,5,9,FALSE
3,18.5,0.879599809183575,0.943826400771463,5,9,FALSE
3,19,0.878747284687113,0.943472176141507,5,9,FALSE
3,19.5,0.876958605154754,0.942640158799978,5,9,FALSE
3,20,0.875267414496634,0.942218435168766,5,9,TRUE
3,20.5,0.873727544257925,0.941962563782248,5,9,TRUE
3,21,0.872703329396288,0.941786827079389,5,9,TRUE
3,21.5,0.871233913675044,0.941497621633562,5,9,TRUE
3,22,0.869153365177267,0.941227066370049,5,9,TRUE
3,22.5,0.867328621576964,0.941059309538143,5,9,TRUE
3,23,0.866686173279682,0.940912185360452,4,9,TRUE
3,23.5,0.866481244330155,0.940859156407639,4,9,TRUE
3,24,0.865222755586369,0.940736973762987,4,9,TRUE
3,24.5,0.86423452586044,0.940660123572362,4,9,TRUE
3,25,0.863829032920526,0.940504425376028,4,9,TRUE
5,1,0.882843186939595,0.90656745359383,3,4,TRUE
5,1.5,0.905047291034067,0.940102473733013,3,9,TRUE
5,2,0.934481175367603,0.967457135574333,3,10,TRUE
5,2.5,0.965330715237565,0.984677044577177,3,10,TRUE
5,3,0.993760923862757,0.99735411594447,3,10,TRUE
5,3.5,0.99909911192112,0.999772550266831,10,9,TRUE
5,4,0.986923793192223,0.996220344351777,9,9,TRUE
5,4.5,0.970052260988514,0.991045190953659,6,9,TRUE
5,5,0.95678142781915,0.985335573246724,6,9,TRUE
5,5.5,0.941689340850206,0.979986456814277,4,9,FALSE
5,6,0.925632215588819,0.976832009023564,4,9,FALSE
5,6.5,0.90764995815391,0.972496976459827,4,9,FALSE
5,7,0.896239654478531,0.969436334568147,4,9,FALSE
5,7.5,0.883166079977347,0.963201920918897,4,9,FALSE
5,8,0.875494565313966,0.961511733216706,4,9,FALSE
5,8.5,0.868960248762174,0.960391708749502,4,9,FALSE
5,9,0.862366367978597,0.959283596173725,4,9,FALSE
5,9.5,0.855102209417089,0.958109278426133,4,9,FALSE
5,10,0.848074658784159,0.9570656909609,4,9,FALSE
5,10.5,0.845169954802876,0.956114903897192,4,9,FALSE
5,11,0.84003199891796,0.952768918012497,4,9,FALSE
5,11.5,0.835458522171811,0.950933385416479,4,9,FALSE
5,12,0.83288709775365,0.949808495113582,4,9,FALSE
5,12.5,0.819576979373534,0.942937068514327,4,9,FALSE
5,13,0.817737673487761,0.942402816052069,4,9,FALSE
5,13.5,0.815375814805889,0.941889612518689,4,9,FALSE
5,14,0.811621307765131,0.940492009081245,4,9,FALSE
5,14.5,0.810951309562658,0.939998653624803,4,9,FALSE
5,15,0.809884015385243,0.939726191154016,4,9,FALSE
5,15.5,0.806369660735697,0.938147540921623,4,9,FALSE
5,16,0.805252362312443,0.937779219351568,4,9,FALSE
5,16.5,0.802695115312365,0.937316016396571,4,9,FALSE
5,17,0.79994061193339,0.937146356205332,4,9,FALSE
5,17.5,0.799392249729253,0.937048034948629,4,9,FALSE
5,18,0.798712975003137,0.936890191501303,4,9,FALSE
5,18.5,0.79795752399992,0.93666635176255,4,9,FALSE
5,19,0.797516534287487,0.936546632928719,4,9,FALSE
5,19.5,0.79645626513846,0.936288478553763,4,9,FALSE
5,20,0.796248105768524,0.936197631564802,4,9,FALSE
5,20.5,0.795658288157215,0.936108552186167,4,9,FALSE
5,21,0.792617470531498,0.935795060799837,4,9,FALSE
5,21.5,0.792202728222558,0.935724724447663,4,9,FALSE
5,22,0.791878492416471,0.935491470726163,4,9,FALSE
5,22.5,0.786327572121204,0.933177117486031,4,9,FALSE
5,23,0.783263690594239,0.932055874450008,4,9,FALSE
5,23.5,0.782782469633744,0.932014540955455,4,9,FALSE
5,24,0.782552930851722,0.93200300234637,4,9,FALSE
5,24.5,0.782016484264094,0.931865491610049,4,9,FALSE
5,25,0.781032026589106,0.931650081146654,4,9,FALSE
18,1,0.853589128752228,0.879069660555054,3,3,TRUE
18,1.5,0.879571884421226,0.920565081917325,3,3,TRUE
18,2,0.900782717993881,0.947866722900724,3,4,TRUE
18,2.5,0.942723905463708,0.972379852709766,3,8,TRUE
18,3,0.977836043222075,0.990693297334121,5,10,TRUE
18,3.5,0.997715613623463,0.999127642005477,10,10,TRUE
18,4,0.997833026071394,0.999224261389817,10,9,TRUE
18,4.5,0.990111186930881,0.996914408307524,7,9,TRUE
18,5,0.97595445051448,0.99357093290409,7,9,TRUE
18,5.5,0.965280170614891,0.989862042241399,7,9,TRUE
18,6,0.953773553223007,0.984756415468386,7,9,TRUE
18,6.5,0.942764585731044,0.97959946715627,5,9,TRUE
18,7,0.928477604328333,0.969808071702058,5,9,TRUE
18,7.5,0.919119547522849,0.966172783148176,5,9,TRUE
18,8,0.912720340898887,0.963805789854508,5,9,TRUE
18,8.5,0.90303663341504,0.960171639780709,5,9,TRUE
18,9,0.897264328109106,0.958833614755837,5,9,TRUE
18,9.5,0.889255825484544,0.955425682805928,5,9,TRUE
18,10,0.883838914203347,0.952904595395939,5,9,TRUE
18,10.5,0.881205621381725,0.951960848725312,5,9,TRUE
18,11,0.877194772106926,0.951050927456342,5,9,TRUE
18,11.5,0.874536531535145,0.95012183070034,5,9,TRUE
18,12,0.87215858620837,0.949113553332665,5,9,TRUE
18,12.5,0.8712813079545,0.948887327588885,5,9,TRUE
18,13,0.865442841353616,0.947568590483442,5,9,TRUE
18,13.5,0.863883663124329,0.94735673560773,5,9,TRUE
18,14,0.86152505005046,0.946845798863593,5,9,TRUE
18,14.5,0.860193332944241,0.946154732078782,5,9,TRUE
18,15,0.858918102691591,0.945754107641049,5,9,TRUE
18,15.5,0.857207521396457,0.945727979144729,5,9,TRUE
18,16,0.85390397272283,0.944994237952591,5,9,TRUE
18,16.5,0.848937038999653,0.943076319628624,5,9,TRUE
18,17,0.848478092448581,0.942960494348415,5,9,TRUE
18,17.5,0.846599195602071,0.942167555611236,5,9,TRUE
18,18,0.845550503522855,0.94209379947995,5,9,TRUE
18,18.5,0.843796304253352,0.943387044246339,5,9,TRUE
18,19,0.839483327410322,0.942752536697973,5,9,TRUE
18,19.5,0.838685438229814,0.942710654261187,5,9,TRUE
18,20,0.838540105527871,0.94268412327665,5,9,TRUE
18,20.5,0.838104521866993,0.94259219735223,5,9,TRUE
18,21,0.836024801077968,0.942422547992479,5,9,TRUE
18,21.5,0.835732505062465,0.942289267934428,5,9,TRUE
18,22,0.834735273492127,0.941747823696125,5,9,TRUE
18,22.5,0.834166599283988,0.941663844820612,5,9,TRUE
18,23,0.833877980523969,0.941677565255123,5,9,TRUE
18,23.5,0.833032975636782,0.941455489470998,5,9,TRUE
18,24,0.832572788612227,0.941445176772051,5,9,TRUE
18,24.5,0.832017523953359,0.94124413591217,5,9,TRUE
18,25,0.831483859276,0.941179027875879,5,9,TRUE
20,1,0.744256398603492,0.806829266058049,3,3,FALSE
20,1.5,0.778082228580184,0.847585753129465,3,3,FALSE
20,2,0.814330675600162,0.875753447482791,3,3,FALSE
20,2.5,0.865979934229195,0.909526477120939,3,4,FALSE
20,3,0.905464039745811,0.937583757742229,3,5,FALSE
20,3.5,0.94377874074954,0.967992545670756,9,6,FALSE
20,4,0.975339840100395,0.985941008872827,10,6,FALSE
20,4.5,0.993383854433279,0.996112246218716,9,9,FALSE
20,5,0.999547804109092,0.999674926085186,10,10,FALSE
20,5.5,0.995057573418089,0.996731176597017,10,10,FALSE
20,6,0.9839958834468,0.991440049627933,7,10,FALSE
20,6.5,0.961531657568064,0.984095519225417,7,9,FALSE
20,7,0.949452302605522,0.980550125647828,7,9,FALSE
20,7.5,0.94015880780744,0.976391924266947,7,9,FALSE
20,8,0.934162921582839,0.971140729328042,7,9,FALSE
20,8.5,0.924137689637253,0.965031839595527,7,9,FALSE
20,9,0.913143088214639,0.960178015118303,5,9,FALSE
20,9.5,0.906243279958534,0.955595344246392,5,9,FALSE
20,10,0.900693928387249,0.953535005437685,5,9,FALSE
20,10.5,0.895452209474917,0.951343614572701,5,9,FALSE
20,11,0.889902727129781,0.947113036269074,5,9,FALSE
20,11.5,0.886809498875468,0.946109644001062,5,9,FALSE
20,12,0.880011118995716,0.944602782923411,5,9,FALSE
20,12.5,0.876699890971198,0.941520984172248,5,9,FALSE
20,13,0.873842534212719,0.940979437857707,5,9,FALSE
20,13.5,0.870340641801385,0.94019879611962,5,9,FALSE
20,14,0.867552263148329,0.939665318465938,5,9,FALSE
20,14.5,0.86244503519907,0.938590475596109,5,9,FALSE
20,15,0.855716013167579,0.93788627416884,5,9,FALSE
20,15.5,0.851208862901143,0.936704477692554,5,9,FALSE
20,16,0.84945623479167,0.935580813987344,5,9,FALSE
20,16.5,0.846369785625795,0.934731262192752,5,9,FALSE
20,17,0.838957806886023,0.933753685875056,5,9,FALSE
20,17.5,0.837907648792948,0.933071850301324,5,9,FALSE
20,18,0.837138850288198,0.932579110014049,5,9,FALSE
20,18.5,0.834889199772108,0.932199951017855,5,9,FALSE
20,19,0.833883295267096,0.931899875274585,5,9,FALSE
20,19.5,0.832340952490991,0.931427254104551,5,9,FALSE
20,20,0.831340546290354,0.93128469764577,5,9,FALSE
20,20.5,0.830506794288016,0.931103793014067,5,9,FALSE
20,21,0.828760712345948,0.930807285510129,5,9,FALSE
20,21.5,0.828130764298225,0.930596963754921,5,9,FALSE
20,22,0.826362655578837,0.92982753590243,5,9,FALSE
20,22.5,0.824899502564919,0.929454031371844,5,9,FALSE
20,23,0.823741332637273,0.92914478630252,5,9,FALSE
20,23.5,0.823502554006621,0.928979434911409,5,9,FALSE
20,24,0.823005524562193,0.928913150316121,5,9,FALSE
20,24.5,0.82269661350824,0.928834612631449,5,9,FALSE
20,25,0.822414661659099,0.928768029389172,5,9,FALSE
24,1,0.860405290262044,0.88848495786306,3,1,TRUE
24,1.5,0.883380378848101,0.929575591040426,3,3,TRUE
24,2,0.906449026542434,0.953137549553539,3,4,TRUE
24,2.5,0.946260677908016,0.976005039041652,3,9,TRUE
24,3,0.980324515878505,0.992726732806774,5,9,TRUE
24,3.5,0.996806593863679,0.999276871870533,10,10,TRUE
24,4,0.996489533631362,0.998941105923538,10,10,TRUE
24,4.5,0.988543471407346,0.995422283728568,7,10,TRUE
24,5,0.976486761306922,0.990286968100616,7,10,TRUE
24,5.5,0.967241280566183,0.987380092377914,7,10,TRUE
24,6,0.955813752850277,0.981360988158167,7,10,TRUE
24,6.5,0.945793908866313,0.976266752182583,5,10,TRUE
24,7,0.93075924550876,0.967890613382824,5,10,TRUE
24,7.5,0.924409441674904,0.965236526945332,5,10,TRUE
24,8,0.911952729676064,0.960960257948673,5,10,TRUE
24,8.5,0.906716351760974,0.958517578661348,5,10,TRUE
24,9,0.901167685949053,0.95683219803154,5,10,TRUE
24,9.5,0.895591368010662,0.953647628251735,5,10,TRUE
24,10,0.891204078722699,0.952697517568906,5,10,TRUE
24,10.5,0.888496779961029,0.951529202814091,5,10,TRUE
24,11,0.887784363090851,0.951270432933034,5,10,TRUE
24,11.5,0.886370707636773,0.951113018868693,5,10,TRUE
24,12,0.883193783200899,0.94974726347715,5,10,TRUE
24,12.5,0.881136844989848,0.94941963137654,5,10,TRUE
24,13,0.879483691842908,0.949264719535895,5,10,TRUE
24,13.5,0.877579361487157,0.949632510637663,5,10,TRUE
24,14,0.875827233922939,0.949104550355332,5,10,TRUE
24,14.5,0.874461084278809,0.948895917270594,5,10,TRUE
24,15,0.872632294392712,0.94837448376436,5,10,TRUE
24,15.5,0.87041163129692,0.948149459823892,5,10,TRUE
24,16,0.867478353745221,0.947646310943717,5,10,TRUE
24,16.5,0.862511874083386,0.945462997324435,5,10,TRUE
24,17,0.861794460802314,0.945271959238584,5,10,TRUE
24,17.5,0.85650093122867,0.944282977996832,5,10,TRUE
24,18,0.85618381696353,0.9441823428708,5,10,TRUE
24,18.5,0.855423814153782,0.944125216006229,5,10,TRUE
24,19,0.855324380870491,0.944109576692674,5,10,TRUE
24,19.5,0.855007450795516,0.944055648933724,5,10,TRUE
24,20,0.85428726400684,0.943905038852633,5,10,TRUE
24,20.5,0.848369795895064,0.941988894335668,5,10,TRUE
24,21,0.847454773729668,0.941789918006389,5,10,TRUE
24,21.5,0.845632046225043,0.941735758613123,5,10,TRUE
24,22,0.845266887489242,0.941634759043635,5,10,TRUE
24,22.5,0.845127597668465,0.941577028758604,5,10,TRUE
24,23,0.84476045930592,0.94152442039671,5,10,TRUE
24,23.5,0.844614674017853,0.941464985748717,5,10,TRUE
24,24,0.844723779686131,0.941533361047071,5,10,TRUE
24,24.5,0.843557386141907,0.941242612380775,5,10,TRUE
24,25,0.84277598238977,0.941131869447916,5,10,TRUE
25,1,0.865969911450675,0.900678119415409,3,2,TRUE
25,1.5,0.889072514893013,0.934784626837366,3,3,TRUE
25,2,0.91658579710818,0.95784634301109,3,5,TRUE
25,2.5,0.951699863651263,0.979657592593314,3,8,TRUE
25,3,0.985855545587857,0.994298187407304,6,9,TRUE
25,3.5,0.999386151131371,0.999753047614848,10,9,TRUE
25,4,0.995950992915381,0.998515141051869,7,10,TRUE
25,4.5,0.97965444996852,0.993148501286783,7,10,TRUE
25,5,0.967027394531092,0.988649328007194,7,10,TRUE
25,5.5,0.952247266370606,0.983749816887146,7,10,TRUE
25,6,0.936676814599003,0.977491921429383,7,10,TRUE
25,6.5,0.92377867764385,0.972131022257472,5,10,TRUE
25,7,0.915672143932299,0.968738276288235,5,10,TRUE
25,7.5,0.904812482488277,0.964692261002213,5,10,TRUE
25,8,0.895765405366963,0.961250584702584,5,10,TRUE
25,8.5,0.887432117663675,0.959347716539926,5,10,TRUE
25,9,0.879425684463628,0.956978830908287,5,10,TRUE
25,9.5,0.874660740631414,0.95398467019996,5,10,TRUE
25,10,0.870847343712876,0.952696065964009,5,10,TRUE
25,10.5,0.86667013253665,0.951578469537932,5,10,TRUE
25,11,0.864063100760386,0.950963999117564,5,10,TRUE
25,11.5,0.860368126338441,0.950026704676928,5,10,TRUE
25,12,0.859216163882945,0.949656944546205,5,10,TRUE
25,12.5,0.854982749721959,0.948637756808268,5,10,TRUE
25,13,0.85188417868826,0.948450322623281,5,10,TRUE
25,13.5,0.85186194149071,0.948971177400737,5,10,TRUE
25,14,0.8491224175013,0.948584517301749,5,10,TRUE
25,14.5,0.847745504472207,0.948159498404193,5,10,TRUE
25,15,0.844913949886933,0.946813225275689,5,10,TRUE
25,15.5,0.843011321389071,0.946443069468373,5,10,TRUE
25,16,0.841787251380372,0.946269044931677,5,10,TRUE
25,16.5,0.840493493478684,0.946179952945488,5,10,TRUE
25,17,0.839507595307705,0.94596094732366,5,10,TRUE
25,17.5,0.838914414958334,0.945866998735244,5,10,TRUE
25,18,0.838469881234066,0.945673731699628,5,10,TRUE
25,18.5,0.837238096797004,0.945105093695261,5,10,TRUE
25,19,0.83610061573198,0.94496285686662,5,10,TRUE
25,19.5,0.829520370735747,0.94351550333618,5,10,TRUE
25,20,0.829306045283252,0.943404414703103,5,10,TRUE
25,20.5,0.828996031580974,0.943391565499607,5,10,TRUE
25,21,0.818201033601149,0.937538268563856,5,10,TRUE
25,21.5,0.815628055670911,0.937055045581669,5,10,TRUE
25,22,0.815388477464382,0.936964829681636,5,10,TRUE
25,22.5,0.815050198566878,0.936875129483157,5,10,TRUE
25,23,0.81403566304104,0.936779096807605,5,10,TRUE
25,23.5,0.813445726581866,0.936650386820994,5,10,TRUE
25,24,0.812724276924451,0.936507966679164,5,10,TRUE
25,24.5,0.808955227834085,0.935512778744974,5,10,TRUE
25,25,0.808743029863823,0.935432644752542,5,10,TRUE
26,1,0.857299859658035,0.877369459102034,3,3,FALSE
26,1.5,0.882389830803901,0.915673096741334,3,3,TRUE
26,2,0.903503487060329,0.946623584243444,3,4,TRUE
26,2.5,0.942648298765896,0.973507832896312,3,5,TRUE
26,3,0.982541255003339,0.992910433283317,6,9,TRUE
26,3.5,0.99932785345426,0.999815434248492,10,9,TRUE
26,4,0.994016490726031,0.997536866566967,10,10,TRUE
26,4.5,0.977764253541904,0.992157622461935,6,10,TRUE
26,5,0.963565024675238,0.988087221009812,6,9,TRUE
26,5.5,0.948141564558142,0.984307458583787,6,9,TRUE
26,6,0.936695807975845,0.976360682125299,6,9,TRUE
26,6.5,0.922794791735415,0.969186962584604,6,9,TRUE
26,7,0.908567973249291,0.964219439731972,6,9,TRUE
26,7.5,0.895689034790776,0.960979388141068,6,9,TRUE
26,8,0.885216552488476,0.956115025483005,4,9,TRUE
26,8.5,0.878202852291763,0.954784219432563,4,9,TRUE
26,9,0.866968766486091,0.9500092776591,4,9,TRUE
26,9.5,0.862925648707871,0.949459078430195,4,9,TRUE
26,10,0.858187422666721,0.9483229786924,4,9,TRUE
26,10.5,0.855932266033172,0.948164816176824,4,9,TRUE
26,11,0.841816490948251,0.942048013882341,4,9,TRUE
26,11.5,0.837803353598137,0.940941366074794,4,9,TRUE
26,12,0.833626982700371,0.940145793304837,4,9,TRUE
26,12.5,0.829521092395717,0.93855658270873,4,9,TRUE
26,13,0.828179784002135,0.938255625043963,4,9,TRUE
26,13.5,0.823231173372191,0.93735005888716,4,9,TRUE
26,14,0.819601890215422,0.936565150651686,4,9,TRUE
26,14.5,0.818804674249258,0.936506532624601,4,9,TRUE
26,15,0.817849326130734,0.937715085997364,4,9,TRUE
26,15.5,0.811171703562175,0.935022004556337,4,9,TRUE
26,16,0.806699171317752,0.933448834717925,4,9,TRUE
26,16.5,0.804928300316219,0.932076964307476,4,9,TRUE
26,17,0.803022077000882,0.931756725200021,4,9,TRUE
26,17.5,0.798892165928177,0.930786641558336,4,9,TRUE
26,18,0.797798896052868,0.930674472144776,4,9,TRUE
26,18.5,0.796383600680474,0.930464063891558,4,9,TRUE
26,19,0.794760445080253,0.930258936263002,4,9,TRUE
26,19.5,0.79377059367264,0.930170990247438,4,9,TRUE
26,20,0.79339182383784,0.930117245090042,4,9,TRUE
26,20.5,0.793016535544507,0.930075317784669,4,9,TRUE
26,21,0.79214843447446,0.929951784783059,4,9,TRUE
26,21.5,0.791813779358421,0.929861959948528,4,9,TRUE
26,22,0.791374283147716,0.929784649984465,4,9,TRUE
26,22.5,0.791055081788532,0.929745279319832,4,9,TRUE
26,23,0.790098696509159,0.929627940423839,4,9,TRUE
26,23.5,0.789957606712178,0.929619278061642,4,9,TRUE
26,24,0.789502002873396,0.929579668789694,4,9,TRUE
26,24.5,0.789227671084727,0.92949325767155,4,9,TRUE
26,25,0.789108744841794,0.929473256803627,4,9,TRUE
27,1,0.874936214302031,0.880474267866414,3,3,TRUE
27,1.5,0.891974073309359,0.922668157306902,3,3,TRUE
27,2,0.914420692950267,0.951164574674898,3,4,TRUE
27,2.5,0.954348749513275,0.97860426078911,5,7,TRUE
27,3,0.989507984738901,0.995683037820337,5,10,TRUE
27,3.5,0.998774924067704,0.999383106879379,10,10,TRUE
27,4,0.98863323632113,0.995565429193035,7,10,TRUE
27,4.5,0.972182407978943,0.989712697438739,7,9,TRUE
27,5,0.954970826695629,0.985421840893866,7,9,TRUE
